
name;activity_type;heure_debut;starting_time;duree;duration;description;picture;address
Trajet college;journey;07:15;26100;00:30;1800;Partir a l'heure!;college_jiemug;109 Cour du Médoc 33300 Bordeaux
Mathematiques;activity;08:00;28800;00:55;3300;Les angles : types d'angles (aigus, droits, obtus), proprietées des angles opposes par le sommet, calcul des angles dans des figures simples.;cours_maths_jtebnf;109 Cour du Médoc 33300 Bordeaux
Francais;activity;09:00;32400;00:55;3300; Lecture et comprehension de textes: Analyser le vocabulaire, les personnages, le cadre, et la structure du texte. Signification du texte, en utilisant des citations pour justifier leurs reponses.;cours_francais_fdeyk0;109 Cour du Médoc 33300 Bordeaux
Recreation;breaktime;09:55;35700;00:15;900;Aller aux WC.;recreation_uhj8un;109 Cour du Médoc 33300 Bordeaux
Histoire;activity;10:10;36600;00:55;3300;Les grandes decouvertes et la Renaissance (XVe - XVIe siecles): L'exploration du monde par des navigateurs comme Christophe Colomb (1492) ou Vasco de Gama. L'invention de l'imprimerie par Johannes Gutenberg et les avancees dans des domaines comme l'astronomie, les mathematiques et la médecine.;cours_histoire_tlsvxi;109 Cour du Médoc 33300 Bordeaux
Anglais;activity;11:10;40200;00:55;3300;Vocabulaire:  situations de la vie quotidienne, comme les descriptions physiques et de personnalité, les objets de la maison, les emotions, les metiers, les saisons, les animaux. Exercices pratiques :  jeux de mots, des cartes memoire (flashcards).;classe_geographie_wdumh3;109 Cour du Médoc 33300 Bordeaux
Cantine;activity;12:10;43800;00:50;3000;Miam miam;cantine_eek480;109 Cour du Médoc 33300 Bordeaux
Sport;activity;13:30;48600;01:25;5100;Activite : ping-pong;pingpong_mpwidx;7 Rue André Maginot 33200 Bordeaux
Soutien scolaire;activity;15:00;54000;00:55;3300;Exercices du jour, revision des cours pour le lendemain;cours_maths_jtebnf;109 Cour du Médoc 33300 Bordeaux
Trajet maison;journey;16:00;57600;00:30;1800;Attention aux velos sur la route;maison_j3nvou;15 rue Baste, 33300 Bordeaux
Gouter;breaktime;16:30;59400;00:20;1200;Miam miam;repas_dm1z4l;15 rue Baste, 33300 Bordeaux
Douche;activity;18:00;64800;00:30;1800;Shampoing doux qui ne pique pas les yeux;sdb_adclbw;15 rue Baste, 33300 Bordeaux
Repas;activity;19:00;68400;00:45;2700;Miam miam;repas_dm1z4l;15 rue Baste, 33300 Bordeaux
Tv;breaktime;19:45;71100;01:00;3600;Questions pour un champion (rediff);salontv_yjuodu;15 rue Baste, 33300 Bordeaux
Salle de bain;activity;20:45;74700;00:10;600;Brossage de dent;sdb_adclbw;15 rue Baste, 33300 Bordeaux
